top_category,bertscore_precision,bertscore_recall,bertscore_f1
OCR,0.6254510438605531,0.6240144865970089,0.6228470389973627
Region,0.524077064082736,0.6191547280266172,0.5618841304665521
factual,0.5263153249636675,0.65704762056852,0.5780497250648645
i2i,0.5928741094638716,0.7026392421070135,0.6363820723205242
t2i,0.5640332898102611,0.6929196157010205,0.6164873014372515
