top_category,bertscore_precision,bertscore_recall,bertscore_f1
OCR,0.6449262181373492,0.4162326487776351,0.5013080173975801
Region,0.6054487415722438,0.48722528588204156,0.5342370322772435
factual,0.5966055769568834,0.5331434066861104,0.5536664147407581
i2i,0.5183615586105382,0.5090119044454593,0.5073158891414696
t2i,0.5657097129936678,0.5297636390630022,0.5377230316580061
